thumb_mcp,thump_pip,index_mcp,index_pip,middle_mcp,middle_pip,ring_mcp,ring_pip,pinky_mcp,pinky_pip
0,0,0,0,0,0,0,0,0,0
3,0,3,0,3,0,3,0,3,0
6,0,6,0,6,0,6,0,6,0
9,0,9,0,9,0,9,0,9,0
12,0,12,0,12,0,12,0,12,0
15,0,15,0,15,0,15,0,15,0
18,0,18,0,18,0,18,0,18,0
21,0,21,0,21,0,21,0,21,0
24,0,24,0,24,0,24,0,24,0
27,0,27,0,27,0,27,0,27,0
30,0,30,0,30,0,30,0,30,0
33,0,33,0,33,0,33,0,33,0
36,0,36,0,36,0,36,0,36,0
39,0,39,0,39,0,39,0,39,0
42,0,42,0,42,0,42,0,42,0
45,0,45,0,45,0,45,0,45,0
48,0,48,0,48,0,48,0,48,0
51,0,51,0,51,0,51,0,51,0
54,0,54,0,54,0,54,0,54,0
57,0,57,0,57,0,57,0,57,0
60,0,60,0,60,0,60,0,60,0
63,0,63,0,63,0,63,0,63,0
66,0,66,0,66,0,66,0,66,0
69,0,69,0,69,0,69,0,69,0
72,0,72,0,72,0,72,0,72,0
75,0,75,0,75,0,75,0,75,0
78,0,78,0,78,0,78,0,78,0
81,0,81,0,81,0,81,0,81,0
84,0,84,0,84,0,84,0,84,0
87,0,87,0,87,0,87,0,87,0
90,0,90,0,90,0,90,0,90,0
87,0,87,0,87,0,87,0,87,0
84,0,84,0,84,0,84,0,84,0
81,0,81,0,81,0,81,0,81,0
78,0,78,0,78,0,78,0,78,0
75,0,75,0,75,0,75,0,75,0
72,0,72,0,72,0,72,0,72,0
69,0,69,0,69,0,69,0,69,0
66,0,66,0,66,0,66,0,66,0
63,0,63,0,63,0,63,0,63,0
60,0,60,0,60,0,60,0,60,0
57,0,57,0,57,0,57,0,57,0
54,0,54,0,54,0,54,0,54,0
51,0,51,0,51,0,51,0,51,0
48,0,48,0,48,0,48,0,48,0
45,0,45,0,45,0,45,0,45,0
42,0,42,0,42,0,42,0,42,0
39,0,39,0,39,0,39,0,39,0
36,0,36,0,36,0,36,0,36,0
33,0,33,0,33,0,33,0,33,0
30,0,30,0,30,0,30,0,30,0
27,0,27,0,27,0,27,0,27,0
24,0,24,0,24,0,24,0,24,0
21,0,21,0,21,0,21,0,21,0
18,0,18,0,18,0,18,0,18,0
15,0,15,0,15,0,15,0,15,0
12,0,12,0,12,0,12,0,12,0
9,0,9,0,9,0,9,0,9,0
6,0,6,0,6,0,6,0,6,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
